,pmid,text,entity_type,start,end
1218,40655353,Acinetobacter baumannii,OrganismTaxon,101,124
1219,40655353,infections,DiseaseOrPhenotypicFeature,181,191
1220,40655353,A. baumannii,OrganismTaxon,218,230
1224,40655353,Aceinetobacter baumannii,OrganismTaxon,486,487
1226,40655353,A. johnsonni,OrganismTaxon,510,522
1227,40655353,A. nosocomialis,OrganismTaxon,535,550
1230,40655353,macrolides,ChemicalEntity,789,799
1231,40655353,fluoroquinolone,ChemicalEntity,801,816
1232,40655353,lincosamide,ChemicalEntity,818,829
1233,40655353,carbapenem,ChemicalEntity,831,841
1234,40655353,cephalosporin,ChemicalEntity,843,856
1235,40655353,tetracycline,ChemicalEntity,858,870
1236,40655353,rifamycin,ChemicalEntity,872,881
1237,40655353,diaminopyrimidine,ChemicalEntity,883,900
1238,40655353,phenicol,ChemicalEntity,902,910
1239,40655353,penem,ChemicalEntity,928,933
1241,40655353,A. haemolyticus,OrganismTaxon,959,974
1242,40655353,Oxa beta lactamase,GeneOrGeneProduct,987,1005
1243,40655353,Oxa,GeneOrGeneProduct,1015,1018
1247,40655353,A. johnsonii,OrganismTaxon,1080,1092
1250,40655353,fluoroquinoids,ChemicalEntity,1221,1235
374,40662146,Candida albicans,OrganismTaxon,56,72
375,40662146,UPC2,GeneOrGeneProduct,73,77
376,40662146,azole,ChemicalEntity,90,95
377,40662146,Candidiasis,DiseaseOrPhenotypicFeature,123,134
378,40662146,fungal infection,DiseaseOrPhenotypicFeature,150,166
379,40662146,Candida,OrganismTaxon,199,206
380,40662146,C. albicans,OrganismTaxon,227,238
381,40662146,azole medications,ChemicalEntity,275,292
383,40662146,infections,DiseaseOrPhenotypicFeature,362,372
390,40662146,zinc (II)-Cys (6) transcription factor,GeneOrGeneProduct,884,922
391,40662146,sterols,ChemicalEntity,955,962
393,40662146,azoles,ChemicalEntity,1041,1047
396,40662146,ergosterol,ChemicalEntity,1110,1120
397,40662146,ERG2,GeneOrGeneProduct,1152,1156
398,40662146,ERG11,GeneOrGeneProduct,1168,1173
401,40662146,14?-lanosterol demethylase,GeneOrGeneProduct,1288,1314
403,40662146,sterol,ChemicalEntity,1398,1404
256,40860264,triple negative breast cancer,DiseaseOrPhenotypicFeature,103,132
257,40860264,Triple-negative breast cancers,DiseaseOrPhenotypicFeature,134,164
258,40860264,TNBC,DiseaseOrPhenotypicFeature,166,170
259,40860264,tumors,DiseaseOrPhenotypicFeature,187,193
260,40860264,estrogen receptor,GeneOrGeneProduct,226,243
261,40860264,ER,GeneOrGeneProduct,245,247
262,40860264,progesterone receptor,GeneOrGeneProduct,250,271
263,40860264,PR,GeneOrGeneProduct,273,275
264,40860264,human epidermal growth factor receptor 2,GeneOrGeneProduct,282,322
265,40860264,HER2,GeneOrGeneProduct,324,328
269,40860264,Androgen receptor,GeneOrGeneProduct,1212,1229
270,40860264,AR,GeneOrGeneProduct,1231,1233
271,40860264,breast cancer,DiseaseOrPhenotypicFeature,1349,1362
274,40860264,2-hydroxynaringenin,ChemicalEntity,1537,1556
1099,40881775,orthopedic injuries,DiseaseOrPhenotypicFeature,563,582
1100,40881775,genetic and degenerative diseases,DiseaseOrPhenotypicFeature,1175,1208
596,40949928,Alzheimer's disease,DiseaseOrPhenotypicFeature,1205,1224
208,41059450,PGAP2,GeneOrGeneProduct,11,16
209,41059450,Hyperphosphatasia with Mental Retardation Syndrome-3,DiseaseOrPhenotypicFeature,33,85
212,41059450,congenital glycosylation disorder,DiseaseOrPhenotypicFeature,286,319
