,pmid,title,abstract,journal,year
92,42625765,"Molecular Detection of Virulence Genes and Multi-drug Resistance Patterns in <i>Streptococcus Agalactiae</i> in Clinical Bovine Mastitis: Tehran and Alborz Provinces, Iran.","<i>Streptococcus agalactiae</i> is one of the important causes of mastitis in cows. The ability of <i>S. agalactiae</i> to cause disease depends on the production of a large number of virulence factors encoded by different genes. The overuse of antibiotics to treat mastitis can lead to antibiotic resistance. This research was conducted to detect selected virulence genes and assess the antibiotic resistance of <i>S. agalactiae</i>. A total of 30 bacteria that isolated from clinical cases of mastitis and characterized as <i>S. agalactiae</i> by conventional cultural methods was collected from veterinary diagnostic laboratories. Then, these isolates undergo further characterization by detecting virulence genes by molecular methods and antibiotic resistance by disc diffusion method. Of these, 24 samples were confirmed as <i>S. agalactiae</i> through the detection of the two <i>16S-23S rRNA</i> genes. The disk diffusion method, using a panel of 10 antimicrobial agents, showed a large number of strains resistant simultaneously to six antibiotics. Five virulence genes <i>bac</i>, <i>bca</i>, <i>cylE</i>, <i>hylB</i>, and <i>cfb</i> were screened by polymerase chain reaction (PCR). The <i>cfb</i> and <i>hylB</i> genes were found in 95.83 % of the isolates,while the <i>cylE</i> gene was detected in 29.16% of the isolates. The <i>bca</i> and <i>bac</i> genes were not detected in any of the isolates. The absence of <i>bac</i> and <i>bca</i> genes suggests that they likely have minimal impact on the pathogenesis of <i>S. agalactiae</i> mastitis in dairy cows, while the <i>hylB</i> and <i>cfb</i> genes play a crucial role in this condition. The results presented here are one of the first molecular data concerning these five virulence genes in <i>S. agalactiae</i> isolates causing bovine mastitis in the Tehran and Alborz provinces, providing a foundation for the development of diagnostic, preventive, and therapeutic methods.",Archives of Razi Institute,2025.0
93,42621305,N6-methyladenosine-modified circLPAR3 drives docetaxel resistance in prostate cancer by suppressing ferroptosis through the PCBP2/CHAC1 axis.,"Epigenetic mechanisms represented by N6-methyladenosine (m<sup>6</sup>A) modifications and circular RNAs (circRNAs) regulate chemotherapy resistance in prostate cancer (PCa). Here, we stuided the role of m<sup>6</sup>A-modified circLPAR3 in assisting docetaxel (DTX) resistance in PCa and the mechanism of its regulatory function. The expression of circLPAR3 was higher in all three drug-resistant cell lines than in the corresponding parental cell lines and was mainly localized in the cytoplasm. The m<sup>6</sup>A modification and stability enhancement of circLPAR3 by the METTL3/IGF2BP2 axis was primarily determined by expression assays, stability assays, and mass spectrometry. Functionally, circLPAR3 reduced the sensitivity of PCa cells to DTX and promoted PCa proliferation in a DTX environment. In addition, circLPAR3 reduced cytotoxicity by inhibiting the DTX-induced ferroptosis effect. Mechanistically, circLPAR3 downregulated the expression of CHAC1, an emerging driver of ferroptosis. PCBP2 was identified as a mediating RNA-binding protein between circLPAR3 and CHAC1. On the one hand, it shares a very high binding phase with circLPAR3 without interfering with each other's expression; on the other hand, it increases mRNA stability by binding to the 3' UTR of CHAC1, which is interfered by circLPAR3. In conclusion, m<sup>6</sup>A-modified circLPAR3 inhibits CHAC1 expression by competitively binding to PCBP2, ultimately conferring docetaxel resistance to PCa.",Genes & diseases,2026.0
179,42632605,Benzene Metabolite-Targeted Gene ATF7IP2 Drives Glutamate Metabolic Reprogramming to Promote Acute Myeloid Leukemia Initiation.,"Benzene exposure is a recognized environmental risk factor for acute myeloid leukemia (AML). This study aimed to identify key drivers of benzene-associated AML and elucidate its pathogenic mechanisms. Candidate genes were screened by integrating two-sample Mendelian randomization (MR), transcriptomics, and single-cell sequencing data. Their biological functions were validated using functional experiments and metabolomics, and the efficacy of targeted interventions was assessed using in vivo and in vitro models. Integrated analysis identified 138 genes associated with AML, among which ATF7IP2 was a reliable prognostic biomarker and independent risk factor. Benzene significantly upregulated ATF7IP2 expression in a dose-dependent manner. Mechanistically, ATF7IP2 is a key regulator of glutamate metabolism; knockdown of ATF7IP2 reduces intracellular glutamate/glutamine levels, thereby impairing cell viability and inducing cell cycle arrest, while exogenous glutamate can prevent these effects. scRNA-seq and trajectory analysis showed that in a benzene-associated microenvironment, ATF7IP2 drives the malignant differentiation of hematopoietic stem cells (HSCs) into a leukemia precursor stem cell (pre-LSC) subset. The peptidomimetic inhibitor TCMCB07, targeting this axis, inhibited leukemia cell proliferation, delayed disease progression, and prolonged mouse survival. Our results indicate that ATF7IP2 is a key transcriptional metabolic hub that mediates benzene-induced AML by reprogramming glutamate metabolism and driving the conversion of HSCs to pre-LSCs.",Toxicology letters,2026.0
124,41415885,R183Q GNAQ Sturge-Weber syndrome Leptomeningeal and Cerebrovascular Developmental Mouse Model.,"Sturge-Weber syndrome (SWS), a rare neurovascular malformation disorder, is usually caused by the R183Q GNAQ somatic mosaic mutation enriched in brain endothelial cells. A developmental mouse model of SWS brain involvement is needed to investigate mutation impact upon brain vascular development and to facilitate preclinical drug studies. A new Tet-ON R183Q GNAQ transgenic mouse line was paired with rtTA tet transactivator mice under the <i>Tie2</i> promoter to generate mice expressing endothelial R183Q GNAQ in the presence of doxycycline. Litters were perfused at P14-17; half received a sub-seizure dose (1.5 mg/kg; i.p.) of kainate an hour before perfusion. A subset were perfused with Evans blue. Fixed mouse brains were stained with X-gal, DAPI, and antibodies for Gαq, Tie2, phosphorylated-S6, and claudin-5. Images were scored for vessel staining intensity. X-gal staining was seen only in mutant mice; leptomeningeal endothelial X-gal staining was more frequent in kainate-treated mice (<i>p</i> < 0.001). When perfused with Evans blue, only mutant brains showed severe staining (<i>p</i> = 0.028). Median phosphorylated-S6 vessel scores were significantly higher in the leptomeninges of mutant mice (<i>p</i> = 0.035). Mutant cortical microvessels demonstrated discontinuous claudin-5 and phosphorylated-S6 staining as well as increased vessel length in kainate-treated mice (<i>p</i> = 0.024). The new R183Q GNAQ Tet-ON developmental mouse brain model of SWS demonstrates endothelial expression of mutant Gαq associated with blood brain barrier breakdown, altered vascular mTOR activity, and abnormal cortical microvessel structure. This new translational model can be used to develop new drug targets and treatments for SWS.",Journal of vascular anomalies,2024.0
261,42376533,Aggressive basal cell carcinoma in a non-facial location in a cat: Perineural and lymphatic invasion with metastasis.,"Basal cell carcinomas (BCCs) in cats are generally regarded as benign skin tumors with low metastatic potential. However, rare cases of aggressive behavior and metastasis, primarily in the context of facial lesions, have been reported. A 12-year-old neutered male Scottish Fold cat presented with a chronic, non-healing ulcer on the left hock. The initial excision lacked a histopathological diagnosis, and the lesion recurred. Biopsy of the lesion confirmed basal cell carcinoma. Despite limb amputation with clear margins and no regional lymph node involvement, distant cutaneous nodules appeared 6 months later and were histologically confirmed as metastatic BCC with lymphatic and perineural invasion. Wide-margin resections and systemic chemotherapy with carboplatin were performed; however, further lesions developed, and the cat succumbed to progressive disease. This case highlights a rare and aggressive variant of feline BCC arising outside the head and neck region. The lesion demonstrated metastatic spread, perineural and lymphatic invasion, and a poor response to treatment. Early histopathological evaluation of chronic skin ulcers is essential, and recognition of aggressive subtypes may facilitate more effective clinical management.",Open veterinary journal,2025.0
233,42422171,Menaquinone-7 alleviates mitochondrial dysfunction and senescence in senile osteoporosis by targeting the PINK1-mediated mitophagy via PXR/ERK/CREB signaling pathway.,"Current therapeutic strategies for senile osteoporosis inadequately address its low-turnover pathology driven by mitochondrial dysfunction and cellular senescence. This study identifies menaquinone-7 (MK-7), a vitamin K<sub>2</sub> isoform, as a novel therapeutic agent targeting mitochondrial homeostasis in senile osteoporosis. Through RNA sequencing analysis and intramedullary adeno-associated virus (AAV)-based gene manipulation in aged mice, cellular communication network factor 2 (Ccn2) was identified as a critical mediator of MK-7's bone-protective effects. Biochemical and proteomic assays revealed that MK-7 binds to the nuclear receptor pregnane X receptor (PXR), activating the extracellular signal-regulated kinases 1/2 (ERK1/2)/cyclic AMP-responsive element-binding protein (CREB) signaling cascade to upregulate Ccn2 in senescent bone marrow mesenchymal stem cells (BMSCs). This pathway enhanced PTEN-induced kinase 1 (PINK1)/Parkin-mediated mitophagy, reducing mitochondrial DNA damage, reactive oxygen species (mtROS), and senescence-associated secretory phenotype (SASP), while restoring metabolic function. MK-7 redirected BMSC differentiation from adipogenic to osteogenic lineages, effectively mitigating age-related bone loss <i>in vivo</i>. Mechanistically, MK-7 stabilized PXR via direct interaction at the F285 residue, as confirmed by drug affinity responsive target stability (DARTS), cellular thermal shift assay (CETSA), and molecular docking. PXR activation further promoted ERK1/2/CREB-dependent Ccn2 expression, which orchestrated mitochondrial quality control and cellular energy metabolism. Our findings establish MK-7 as a dual-function agent that concurrently alleviates senescence and metabolic imbalance in bone tissue, offering a safe and targeted strategy for senile osteoporosis. This study provides critical insights into the pharmacological modulation of mitochondrial pathways and highlights MK-7's translational potential in geriatric bone health.",Journal of pharmaceutical analysis,2026.0
77,42206121,Deciphering the Nanometabolomics Paradigm: Understanding the Role of Pathophysiology and Biomarkers in Predicting Oral Cancer.,"Oral cancer represents a significant global health burden, with its incidence steadily increasing over recent years. Despite advancements in treatment modalities, early diagnosis and effective therapeutic strategies remain elusive, necessitating innovative approaches. Metabolomics, a powerful analytical technique, offers insights into the metabolic alterations associated with oral cancer progression. By profiling metabolites, it enables the identification of biomarkers indicative of disease onset, progression, and response to treatment. Nanotechnology emerges as a promising ally in overcoming these limitations. Nanomaterials possess unique physicochemical properties that can be harnessed for targeted drug delivery, imaging, and sensing. In this context, our aim is to summarize implication of nanotechnology-integrated metabolomics as facilitators for the development of novel diagnostic platforms and therapeutics with enhanced specificity and efficacy. To address this, our objectives are segregated wherein the metabolomics profiling of biomarkers was investigated contributing to the diagnosis and prognosis of oral cancers. The implication of nanotechnology insights targeted molecular imaging, biomarker analysis and nano-omics technological adavancements assisting early prognosis of oral cancer. In summary, comprehensive literature review of exploring the metabolomic profiling coupled with nanomaterial-based intervention enables early detection of oral cancer with unprecedented sensitivity and specificity. This review comprehensively discusses recent advancements in metabolomic profiling and nanotechnology-based approaches for oral cancer diagnosis and treatment. Advanced technology and biological instruments present excellent prospects for metabolic profiling, enabling the identification of biomarkers for early identification, prognosis, and consequently planned and comprehensive therapy that would be most advantageous for the patients. Amalgamating the skills of physicians, researchers, and bioinformatics will undoubtedly aid in overcoming obstacles and enable patients with oral cancer to fully benefit from metabolism when receiving precision oncology treatment.",Journal of maxillofacial and oral surgery,2026.0
9,42212236,Identifying Relevant Covariates in RNA-seq Analysis by Pseudo-Variable Augmentation.,"RNA-sequencing (RNA-seq) technology allows for the identification of differentially expressed genes, which are genes whose mean transcript abundance levels vary across conditions. In practice, RNA-seq datasets often include covariates that are of primary interest in addition to a set of covariates that are subject to selection. Some of these covariates may be relevant to gene expression levels, while others may be irrelevant. Ignoring relevant covariates or attempting to adjust for the effect of irrelevant covariates can compromise the identification of differentially expressed genes. To address this issue, we propose a variable selection method that uses pseudo-variables to control the expected proportion of selected covariates that are irrelevant. Our method accurately selects relevant covariates while keeping the false selection rate below a specified level. We demonstrate that our method outperforms existing methods for detecting differentially expressed genes when working with available covariates. Our method is implemented in FSRAnalysisBS function of the R package csrnaseq, which is available at www.github.com/ntyet/csrnaseq. The analysis and simulation are available at www.github.com/ntyet/csrnaseq/tree/main/analysis. The online version contains supplementary material available at 10.1007/s13253-024-00665-3.","Journal of agricultural, biological, and environmental statistics",2026.0
251,41059450,Homozygous PGAP2 Mutation Causes Hyperphosphatasia with Mental Retardation Syndrome-3: Genetic and Clinical Evaluation of the Ultra-Rare Inherited Glycosylphosphatidylinositol Biosynthesis Defect.,"Inherited glycosylphosphatidylinositol biosynthesis defect is considered a subset of the congenital glycosylation disorder that results from mutations in the genes encoding proteins participating in glycosylphosphatidylinositol biosynthesis and modification. Glycosylphosphatidylinositol anchor proteins play important roles in numerous cellular processes including neurogenesis, cell adhesion, immune response, and signaling. Hyperphosphatasia with mental retardation syndrome-3 is one of the glycosylphosphatidylinositol anchor defects, characterized by moderate to severe intellectual disability, dysmorphic features, hypotonia, seizures, and persistent hyperphosphatasia. The aims of this study were to investigate the clinical implications of the <i>PGAP2</i> gene and identify the severe phenotype. A male patient with dysmorphic features, neurodevelopmental delay, seizures, hearing loss, Hirschsprung disease, central fever, and elevated alkaline phosphatase was included in the study. The magnetic resonance imaging showed cerebral atrophy and corpus callosum hypoplasia. The whole-exome sequencing analysis of the individual and Sanger sequencing were performed for segregation. Additionally, next-generation sequencing, whole transcriptome sequencing, and homology modeling and analysis were performed. Whole-exome sequencing revealed a homozygous c.651C>G (p.His217Gln) in the <i>PGAP2</i> gene. The Sanger sequencing confirmed the parents were heterozygous. There is no splicing variant detected by whole transcriptome sequencing. The AlphaFold model was interpreted hypothetically. It observed the substitution of histidine, with glutamine, and may affect the stability of protein. Homozygous PGAP2 mutations in the patient we reported in our study resulted in a severe clinical picture including severe developmental delay and intellectual disability, severe epilepsy, dysmorphic features, central fever, biochemical, hormonal, and immunological abnormalities. This patient would be the youngest case published in the literature. We showed that the instability of mutant PGAP2 protein that causes hyperphosphatasia with mental retardation syndrome-3 leads to more severe phenotypes.",Molecular syndromology,2025.0
264,42239639,Chinese Urban Wastewater Surveillance System for Early Warning of Infectious Diseases: Implementation and Efficacy - January 2023-June 2025.,"Wastewater surveillance has emerged as a powerful tool for public health monitoring, particularly during disease outbreaks. This report documents China's pioneering establishment of the first nationwide comprehensive wastewater surveillance system with multi-scenario applications during the coronavirus disease 2019 (COVID-19) pandemic (January 2023-June 2025). The system integrated three components: national urban wastewater surveillance, inbound international aircraft wastewater surveillance, and pilot public health risk surveillance. This integrated framework demonstrated significant effectiveness in providing early warnings for COVID-19, polio, monkeypox, and other infectious disease outbreaks, while advancing variant tracking capabilities. These findings underscore the critical role of wastewater surveillance in augmenting existing public health infrastructure and improving outbreak detection capabilities. Implementing standardized protocols and developing collaborative networks will strengthen pandemic preparedness and enhance global public health resilience.",China CDC weekly,2025.0
