pmid,entity_id,text,entity_type,identifier,start,end,split
10491763,0,Hepatocyte nuclear factor-6,GeneOrGeneProduct,3175,0,27,train
10491763,1,type II diabetes,DiseaseOrPhenotypicFeature,D003924,74,90,train
10491763,2,insulin,GeneOrGeneProduct,3630,140,147,train
10491763,3,hepatocyte nuclear factor (HNF)-6,GeneOrGeneProduct,3175,184,217,train
10491763,4,maturity-onset diabetes,DiseaseOrPhenotypicFeature,D003924,292,315,train
10491763,5,HNF-6,GeneOrGeneProduct,3175,389,394,train
10491763,6,Type II (non-insulin-dependent) diabetes mellitus,DiseaseOrPhenotypicFeature,D003924,430,479,train
10491763,7,insulin,GeneOrGeneProduct,3630,497,504,train
10491763,8,glucose,ChemicalEntity,D005947,518,525,train
10491763,9,HNF-6,GeneOrGeneProduct,3175,620,625,train
10491763,10,MODY,GeneOrGeneProduct,"3172,3651,6927",676,680,train
10491763,11,MODY1,GeneOrGeneProduct,3172,715,720,train
10491763,12,MODY3,GeneOrGeneProduct,6927,722,727,train
10491763,13,MODY4,GeneOrGeneProduct,3651,732,737,train
10491763,14,patients,OrganismTaxon,9606,754,762,train
10491763,15,Type II diabetes,DiseaseOrPhenotypicFeature,D003924,779,795,train
10491763,16,Pro75 Ala,SequenceVariant,rs74805019,1070,1079,train
10491763,17,Pro75Ala,SequenceVariant,rs74805019,1143,1151,train
10491763,18,patients,OrganismTaxon,9606,1216,1224,train
10491763,19,Type II diabetes mellitus,DiseaseOrPhenotypicFeature,D003924,1230,1255,train
10491763,20,glucose,ChemicalEntity,D005947,1304,1311,train
10491763,21,glucose,ChemicalEntity,D005947,1379,1386,train
10491763,22,glucose,ChemicalEntity,D005947,1413,1420,train
10491763,23,Type II diabetic,DiseaseOrPhenotypicFeature,D003924,1443,1459,train
10491763,24,patients,OrganismTaxon,9606,1460,1468,train
10491763,25,glucose,ChemicalEntity,D005947,1573,1580,train
10491763,26,insulin,GeneOrGeneProduct,3630,1595,1602,train
10491763,27,C-peptide,GeneOrGeneProduct,3630,1606,1615,train
10491763,28,HNF-6,GeneOrGeneProduct,3175,1667,1672,train
10491763,29,Type II diabetes,DiseaseOrPhenotypicFeature,D003924,1702,1718,train
10491763,30,insulin,GeneOrGeneProduct,3630,1738,1745,train
10491763,31,glucose,ChemicalEntity,D005947,1759,1766,train
10661407,0,Langerin,GeneOrGeneProduct,50489,0,8,train
10661407,1,C-type lectin,GeneOrGeneProduct,50489,18,31,train
10661407,2,type II Ca2+-dependent lectin,GeneOrGeneProduct,50489,156,185,train
10661407,3,mannose,ChemicalEntity,D008358,197,204,train
10661407,4,Langerin,GeneOrGeneProduct,50489,284,292,train
10661407,5,Langerin,GeneOrGeneProduct,50489,447,455,train
10661407,6,Langerin,GeneOrGeneProduct,50489,514,522,train
10661407,7,Langerin,GeneOrGeneProduct,50489,590,598,train
10661407,8,Langerin,GeneOrGeneProduct,50489,699,707,train
10661407,9,Langerin,GeneOrGeneProduct,50489,890,898,train
10788334,0,BRCA1,GeneOrGeneProduct,672,25,30,train
10788334,1,breast-ovarian cancer,DiseaseOrPhenotypicFeature,D061325,60,81,train
10788334,2,BRCA1,GeneOrGeneProduct,672,147,152,train
10788334,3,BRCA2,GeneOrGeneProduct,675,157,162,train
10788334,4,cancer,DiseaseOrPhenotypicFeature,D009369,260,266,train
10788334,5,breast or ovarian cancer,DiseaseOrPhenotypicFeature,"D001943,D010051",321,345,train
10788334,6,cancer,DiseaseOrPhenotypicFeature,D009369,358,364,train
10788334,7,breast and ovarian cancers,DiseaseOrPhenotypicFeature,"D001943,D010051",474,500,train
10788334,8,ovarian cancers,DiseaseOrPhenotypicFeature,D010051,517,532,train
10788334,9,breast cancers,DiseaseOrPhenotypicFeature,D001943,559,573,train
10788334,10,woman,OrganismTaxon,9606,667,672,train
10788334,11,BRCA1,GeneOrGeneProduct,672,719,724,train
10788334,12,BRCA2,GeneOrGeneProduct,675,729,734,train
10788334,13,BRCA1,GeneOrGeneProduct,672,970,975,train
10788334,14,BRCA1 abnormalities,DiseaseOrPhenotypicFeature,OMIM:604370,982,1001,train
10788334,15,ovarian cancer,DiseaseOrPhenotypicFeature,D010051,1044,1058,train
10788334,16,breast and ovarian cancer,DiseaseOrPhenotypicFeature,"D001943,D010051",1097,1122,train
10788334,17,breast cancer,DiseaseOrPhenotypicFeature,D001943,1155,1168,train
10788334,18,BRCA2,GeneOrGeneProduct,675,1200,1205,train
10788334,19,breast-ovarian cancer syndrome,DiseaseOrPhenotypicFeature,D061325,1223,1253,train
10788334,20,BRCA1 abnormalities,DiseaseOrPhenotypicFeature,OMIM:604370,1448,1467,train
10788334,21,5382insC,SequenceVariant,c|INS|5382|C,1470,1478,train
10788334,22,C61G,SequenceVariant,rs28897672,1480,1484,train
10788334,23,4153delA,SequenceVariant,c|DEL|4153|A,1490,1498,train
11009181,0,Apomorphine,ChemicalEntity,D001058,0,11,train
11009181,1,Parkinson's disease,DiseaseOrPhenotypicFeature,D010300,42,61,train
11009181,2,Apomorphine,ChemicalEntity,D001058,63,74,train
11009181,3,dopaminergic drug,ChemicalEntity,D004298,89,106,train
11009181,4,Parkinson's disease,DiseaseOrPhenotypicFeature,D010300,138,157,train
11009181,5,Parkinson's disease,DiseaseOrPhenotypicFeature,D010300,273,292,train
11009181,6,apomorphine,ChemicalEntity,D001058,327,338,train
11009181,7,apomorphine,ChemicalEntity,D001058,493,504,train
11009181,8,levodopa,ChemicalEntity,D007980,590,598,train
11009181,9,apomorphine,ChemicalEntity,D001058,608,619,train
11009181,10,patients,OrganismTaxon,9606,678,686,train
11009181,11,apomorphine,ChemicalEntity,D001058,745,756,train
11009181,12,patients,OrganismTaxon,9606,827,835,train
11009181,13,dopamine agonists,ChemicalEntity,D018491,930,947,train
11009181,14,COMT inhibitors,ChemicalEntity,D065098,951,966,train
11009181,15,apomorphine,ChemicalEntity,D001058,1055,1066,train
11009181,16,apomorphine,ChemicalEntity,D001058,1174,1185,train
11009181,17,levodopa,ChemicalEntity,D007980,1248,1256,train
11009181,18,dyskinesias,DiseaseOrPhenotypicFeature,D004409,1265,1276,train
11009181,19,apomorphine,ChemicalEntity,D001058,1316,1327,train
11009181,20,psychiatric complications,DiseaseOrPhenotypicFeature,D001523,1407,1432,train
11009181,21,apomorphine,ChemicalEntity,D001058,1505,1516,train
11009181,22,Parkinson's disease,DiseaseOrPhenotypicFeature,D010300,1542,1561,train
11054569,0,Rab6c,GeneOrGeneProduct,84084,0,5,train
11054569,1,rab,GeneOrGeneProduct,"5870,84084",27,30,train
11054569,2,MCF7/AdrR,CellLine,CVCL_1452,78,87,train
11054569,3,Rab6,GeneOrGeneProduct,5870,101,105,train
11054569,4,Rab6c,GeneOrGeneProduct,84084,120,125,train
11054569,5,human,OrganismTaxon,9606,207,212,train
11054569,6,breast cancer,DiseaseOrPhenotypicFeature,D001943,239,252,train
11054569,7,MCF7/AdrR,CellLine,CVCL_1452,264,273,train
11054569,8,Rab6c,GeneOrGeneProduct,84084,361,366,train
11054569,9,MCF7/AdrR,CellLine,CVCL_1452,402,411,train
11054569,10,MES-SA/Dx5,CellLine,CVCL_2598,416,426,train
11054569,11,human,OrganismTaxon,9606,430,435,train
11054569,12,uterine sarcoma,DiseaseOrPhenotypicFeature,D014594,440,455,train
11054569,13,MCF7/AdrR,CellLine,CVCL_1452,516,525,train
11054569,14,Rab6c,GeneOrGeneProduct,84084,557,562,train
11054569,15,doxorubicin,ChemicalEntity,D004317,627,638,train
11054569,16,DOX,ChemicalEntity,D004317,640,643,train
11054569,17,taxol,ChemicalEntity,D017239,646,651,train
11054569,18,vinblastine,ChemicalEntity,D014747,653,664,train
11054569,19,vincristine,ChemicalEntity,D014750,670,681,train
11054569,20,DOX,ChemicalEntity,D004317,821,824,train
11054569,21,Rab6c,GeneOrGeneProduct,84084,892,897,train
11054569,22,Rab6c,GeneOrGeneProduct,84084,927,932,train
11054569,23,MCF7/AdrR,CellLine,CVCL_1452,967,976,train
11773892,0,End-stage renal disease,DiseaseOrPhenotypicFeature,D007676,0,23,train
11773892,1,ESRD,DiseaseOrPhenotypicFeature,D007676,25,29,train
11773892,2,calcineurin,GeneOrGeneProduct,5530,83,94,train
11773892,3,calcineurin,GeneOrGeneProduct,5530,167,178,train
11773892,4,cyclosporine,ChemicalEntity,D016572,190,202,train
11773892,5,tacrolimus,ChemicalEntity,D016559,207,217,train
11773892,6,nephrotoxic,DiseaseOrPhenotypicFeature,D007674,239,250,train
11773892,7,patients,OrganismTaxon,9606,392,400,train
11773892,8,end-stage renal disease,DiseaseOrPhenotypicFeature,D007676,436,459,train
11773892,9,ESRD,DiseaseOrPhenotypicFeature,D007676,461,465,train
11773892,10,ESRD,DiseaseOrPhenotypicFeature,D007676,533,537,train
11773892,11,chronic renal failure,DiseaseOrPhenotypicFeature,D007676,542,563,train
11773892,12,CRF,DiseaseOrPhenotypicFeature,D007676,565,568,train
11773892,13,patients,OrganismTaxon,9606,578,586,train
11773892,14,Patients,OrganismTaxon,9606,597,605,train
11773892,15,Patients,OrganismTaxon,9606,797,805,train
11773892,16,CRF,DiseaseOrPhenotypicFeature,D007676,851,854,train
11773892,17,ESRD,DiseaseOrPhenotypicFeature,D007676,858,862,train
11773892,18,CRF,DiseaseOrPhenotypicFeature,D007676,871,874,train
11773892,19,creatinine,ChemicalEntity,D003404,892,902,train
11773892,20,ESRD,DiseaseOrPhenotypicFeature,D007676,925,929,train
11773892,21,ESRD,DiseaseOrPhenotypicFeature,D007676,1051,1055,train
11773892,22,ESRD,DiseaseOrPhenotypicFeature,D007676,1092,1096,train
11773892,23,renal dysfunction,DiseaseOrPhenotypicFeature,D007674,1155,1172,train
11773892,24,CRF,DiseaseOrPhenotypicFeature,D007676,1184,1187,train
11773892,25,ESRD,DiseaseOrPhenotypicFeature,D007676,1197,1201,train
11773892,26,patients,OrganismTaxon,9606,1231,1239,train
11773892,27,CRF,DiseaseOrPhenotypicFeature,D007676,1241,1244,train
11773892,28,ESRD,DiseaseOrPhenotypicFeature,D007676,1249,1253,train
11773892,29,patients,OrganismTaxon,9606,1254,1262,train
11773892,30,creatinine,ChemicalEntity,D003404,1293,1303,train
11773892,31,patients,OrganismTaxon,9606,1336,1344,train
11773892,32,hepatorenal syndrome,DiseaseOrPhenotypicFeature,D006530,1350,1370,train
11773892,33,creatinine,ChemicalEntity,D003404,1480,1490,train
11773892,34,creatinine,ChemicalEntity,D003404,1627,1637,train
11773892,35,CRF,DiseaseOrPhenotypicFeature,D007676,1762,1765,train
11773892,36,ESRD,DiseaseOrPhenotypicFeature,D007676,1769,1773,train
11773892,37,patients,OrganismTaxon,9606,1948,1956,train
11773892,38,ESRD,DiseaseOrPhenotypicFeature,D007676,1965,1969,train
11773892,39,Patients,OrganismTaxon,9606,2027,2035,train
11773892,40,ESRD,DiseaseOrPhenotypicFeature,D007676,2047,2051,train
11773892,41,ESRD,DiseaseOrPhenotypicFeature,D007676,2089,2093,train
11773892,42,patients,OrganismTaxon,9606,2109,2117,train
11773892,43,patients,OrganismTaxon,9606,2162,2170,train
11773892,44,ESRD,DiseaseOrPhenotypicFeature,D007676,2182,2186,train
11773892,45,Patients,OrganismTaxon,9606,2246,2254,train
11773892,46,CRF,DiseaseOrPhenotypicFeature,D007676,2297,2300,train
11773892,47,ESRD,DiseaseOrPhenotypicFeature,D007676,2305,2309,train
11773892,48,ESRD,DiseaseOrPhenotypicFeature,D007676,2345,2349,train
11773892,49,patients,OrganismTaxon,9606,2392,2400,train
11773892,50,Patients,OrganismTaxon,9606,2429,2437,train
11773892,51,ESRD,DiseaseOrPhenotypicFeature,D007676,2450,2454,train
11773892,52,creatinine,ChemicalEntity,D003404,2499,2509,train
11773892,53,hepatorenal syndrome,DiseaseOrPhenotypicFeature,D006530,2538,2558,train
11773892,54,creatinine,ChemicalEntity,D003404,2590,2600,train
11773892,55,CRF,DiseaseOrPhenotypicFeature,D007676,2675,2678,train
11773892,56,ESRD,DiseaseOrPhenotypicFeature,D007676,2682,2686,train
12442272,0,D90A,SequenceVariant,rs80265967,0,4,train
12442272,1,SOD1,GeneOrGeneProduct,6647,5,9,train
12442272,2,amyotrophic lateral sclerosis,DiseaseOrPhenotypicFeature,D000690,19,48,train
12442272,3,copper/zinc superoxide dismutase,GeneOrGeneProduct,6647,207,239,train
12442272,4,SOD1,GeneOrGeneProduct,6647,241,245,train
12442272,5,patients,OrganismTaxon,9606,266,274,train
12442272,6,amyotrophic lateral sclerosis,DiseaseOrPhenotypicFeature,D000690,280,309,train
12442272,7,ALS,DiseaseOrPhenotypicFeature,D000690,311,314,train
12442272,8,neurodegenerative disease,DiseaseOrPhenotypicFeature,D019636,325,350,train
12442272,9,D90A,SequenceVariant,rs80265967,362,366,train
12442272,10,SOD1,GeneOrGeneProduct,6647,367,371,train
12442272,11,D90A,SequenceVariant,rs80265967,585,589,train
12442272,12,SOD1,GeneOrGeneProduct,6647,590,594,train
12442272,13,ALS,DiseaseOrPhenotypicFeature,D000690,659,662,train
12442272,14,ALS,DiseaseOrPhenotypicFeature,D000690,777,780,train
12442272,15,D90A,SequenceVariant,rs80265967,1041,1045,train
12442272,16,SOD1,GeneOrGeneProduct,6647,1346,1350,train
12442272,17,D90A,SequenceVariant,rs80265967,1459,1463,train
12442272,18,SOD1,GeneOrGeneProduct,6647,1464,1468,train
12442272,19,ALS,DiseaseOrPhenotypicFeature,D000690,1511,1514,train
1353340,0,metachromatic leukodystrophy,DiseaseOrPhenotypicFeature,D007966,11,39,train
1353340,1,arylsulfatase A,GeneOrGeneProduct,410,111,126,train
1353340,2,ARSA,GeneOrGeneProduct,410,128,132,train
1353340,3,metachromatic leukodystrophy,DiseaseOrPhenotypicFeature,D007966,159,187,train
1353340,4,MLD,DiseaseOrPhenotypicFeature,D007966,189,192,train
1353340,5,arginine84,SequenceVariant,rs74315458,210,220,train
1353340,6,arylsulfatase,GeneOrGeneProduct,410,264,277,train
1353340,7,MLD,DiseaseOrPhenotypicFeature,D007966,363,366,train
1353340,8,arginine84 to glutamine,SequenceVariant,rs74315458,372,395,train
1353340,9,ARSA,GeneOrGeneProduct,410,442,446,train
1353340,10,ARSA,GeneOrGeneProduct,410,484,488,train
1353340,11,patients,OrganismTaxon,9606,562,570,train
1353340,12,MLD,DiseaseOrPhenotypicFeature,D007966,576,579,train
1353340,13,ARSA,GeneOrGeneProduct,410,655,659,train
1353340,14,MLD,DiseaseOrPhenotypicFeature,D007966,712,715,train
14722929,0,deafness,DiseaseOrPhenotypicFeature,D003638,17,25,train
